Key|Name|SortName|Dates|SortWithDates|Role|Epoque||
altnickol|Johann Christoph Altnickol|Altnickol, Johann Christoph|(1720-1759)|Altnickol, Johann Christoph (1720-1759)|Composer|Classical|Altnickol|
alunhoddinott|Alun Hoddinott|Hoddinott, Alun|(1929-2008)|Hoddinott, Alun (1929-2008)|Composer|20th Century|Hoddinott|Hoddinott, Alun
alvinjoiner|Alvin Joiner|Joiner, Alvin||Joiner, Alvin|Composer||Joiner|Joiner, Alvin
alyabyev|Alexander Alyabyev|Alyabyev, Alexander|(1787-1851)|Alyabyev, Alexander (1787-1851)|Composer|Romantic|Alyabyev|
amaliacatharina countessoferbach|Amalia Catharina, Countess of Erbach|Erbach, Amalia Catharina, Countess of|(1640-1697)|Erbach, Amalia Catharina, Countess of (1640-1697)|Composer|Baroque|Erbach|Amalia Catharina, Countess of Erbach (1640-1697)
amalieprincessofsaxony|Amalie, Princess of Saxony|Saxony, Amalie, Princess of|(1794-1870)|Saxony, Amalie, Princess of (1794-1870)|Composer|Romantic|Saxony|Amalie, Princess of Saxony (1794-1870)
amandasomerville|Amanda Somerville|Somerville, Amanda||Somerville, Amanda|Composer||Somerville|Somerville, Amanda
amberiandawn|Amberian Dawn|Dawn, Amberian||Dawn, Amberian|Composer||Dawn|Dawn, Amberian
ambroisethomas|Ambroise Thomas|Thomas, Ambroise|(1811-1896)|Thomas, Ambroise (1811-1896)|Composer|Romantic|Thomas|Thomas, Ambroise
ambrosiocotes|Ambrosio Cotes|Cotes, Ambrosio|(1550-1603)|Cotes, Ambrosio (1550-1603)|Composer|Baroque|Cotes|Ambrosio Cotes (1550-1603)
amedeemereaux|Amédée Méreaux|Méreaux, Amédée|(1802-1874)|Méreaux, Amédée (1802-1874)|Composer|Romantic|Méreaux|Amédée Méreaux (1802-1874)
ameliejuliecandeille|Amélie-Julie Candeille|Candeille, Amélie-Julie|(1767-1834)|Candeille, Amélie-Julie (1767-1834)|Composer|Classical|Candeille|Amélie-Julie Candeille (1767-1834)
